,bathroom,bedroom,code,date,description,direct,floor,ground_area,juridical,kitchen,length,link_image,livingroom,name_project,parking,price,road_width,specific_address,terrace,title,type,url_page,usable_area,width,ward,district,province,street
0, Có,0, MS296208,,Chính chủ gửi bán.Chủ thiện chí bán sớm có thương lượng,Đông Nam,3 t, 116 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/14343/z4927701337850-e95d7daf156f75bfde2805d7400452e6.jpg, Có, Bán Gấp ! FLC Cầu Giấy 115.8m2 - 3PN 2WC chỉ với 6.65 tỷ  có thương lượng., Không,6650000000, 1 m,"Đường Cầu Giấy, Dịch Vọng", Không,Bán Gấp ! FLC Cầu Giấy 115.8m2 - 3PN 2WC chỉ với 6.65 tỷ  có thương lượng.,0,https://nhadat24h.net.vn/du-an/ban-gap-flc-cau-giay-1158m2-3pn-2wc-chi-voi-665-ty-co-thuong-luong/296208, 116 m, 0 m,Dịch Vọng,Cầu Giấy,Hà Nội,Cầu Giấy
1, Có,0, MS296193,,None,Bắc,3 t, 128 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/14343/z4975476835899-1c2e2b55fe52a533e1d6f4f41b81cb17.jpg, Có, Hàng Rộng ! Hà Đô Park View - 3PN 2WC - 145 m2 view thoáng mát 7.6 tỷ, Không,7600000000, 1 m,"Đường Duy Tân, Dịch Vọng", Không,Hàng Rộng ! Hà Đô Park View - 3PN 2WC - 145 m2 view thoáng mát 7.6 tỷ,0,https://nhadat24h.net.vn/du-an/hang-rong-ha-do-park-view-3pn-2wc-145-m2-view-thoang-mat-76-ty/296193, 128 m, 0 m,Dịch Vọng,Cầu Giấy,Hà Nội,Duy Tân
2, Có,15 pn, MS296194,,None,Đông Bắc,2 t, 69 m,Sổ Đỏ, Có, 12 m,https://nhadat24h.net.vn/storage/product/7257/z4919798560262-250af536f6c5f967bed9c34bf77bc763.jpg, Có, CĂN HỘ FPT PLAZA 1 FULL NỘI THẤT GIÁ SIÊU RẺ, Không,1850000000, 1 m,"Đường Võ Qúy Huân, Hòa Hải", Không,CĂN HỘ FPT PLAZA 1 FULL NỘI THẤT GIÁ SIÊU RẺ,0,https://nhadat24h.net.vn/du-an/can-ho-fpt-plaza-1-full-noi-that-gia-sieu-re/296194, 69 m, 6 m,Hoà Hải,Ngũ Hành Sơn,Đà Nẵng,None
3, Không,0, MS296248,,Siêu Thị Ngân Hàng Trường học phạm vi 300 m,,0, 50 m,Sổ Đỏ, Không, 10 m,https://nhadat24h.net.vn/storage/product/6647/z4460209891923-68de87dc0a17f1afb1c0c2b0258e48a1.jpg, Không," 🌟🌟🌟1 tỷ có ngay mảnh đất đương 2 ô tô tránh nhau 🌟🌟🌟
🌏Diện tích 50 m mặt tiền 4,5 m 
KIM THIỀU THÀNH PHỐ TỪ SƠN", Không,800000000, 1 m,"Đường ĐT 271, Hương Mạc", Không,"🌟🌟🌟1 tỷ có ngay mảnh đất đương 2 ô tô tránh nhau 🌟🌟🌟
🌏Diện tích 50 m mặt tiền 4,5 m 
KIM THIỀU THÀNH PHỐ TỪ SƠN",0,https://nhadat24h.net.vn/du-an/1-ty-co-ngay-manh-dat-duong-2-o-to-tranh-nhau-dien-tich-50-m-mat-tien-45-m-kim-thieu-thanh-pho-tu-son/296248, 50 m, 5 m,Hương Mạc,None,Bắc Ninh,None
4, Không,22 pn, MS296106,,"Không gian đẹp, tiện ích bạt ngàn, công viên cây xanh ",,2 t, 68 m,Sổ Đỏ, Có, 10 m,https://nhadat24h.net.vn/storage/product/15559/z4976966778824-d689aea508f0f36ffbebae103203980f.jpg, Có, căn hộ cc 68 mét 2 ngủ mới tinh 1ty3 hh linh đàm, Không,1300000000, 1 m,"Đường Linh Đàm, Hoàng Liệt", Không,căn hộ cc 68 mét 2 ngủ mới tinh 1ty3 hh linh đàm,0,https://nhadat24h.net.vn/du-an/can-ho-cc-68-met-2-ngu-moi-tinh-1ty3-hh-linh-dam/296106, 68 m, 6.8 m,Hoàng Liệt,Hoàng Mai,Hà Nội,Linh Đàm
5, Không,0, MS296052,,- SĐT mua bán đất  :   0829038286 (Chú Hoàng),,0, 5519 m,Sổ Đỏ, Không, 0 m,https://nhadat24h.net.vn/storage/product/16560/z4938994324411-11482b59bc768e45d26ead29e4d9fa9c-13.jpg, Không," Cần bán gấp 5519 m²  đất vườn tại huyện Củ Chi, TPHCM", Không,4967000000, 1 m,"Đường 1, Tân An Hội", Không,"Cần bán gấp 5519 m²  đất vườn tại huyện Củ Chi, TPHCM",0,https://nhadat24h.net.vn/du-an/can-ban-gap-5519-m2-dat-vuon-tai-huyen-cu-chi-tphcm/296052, 5519 m, 0 m,Tân An Hội,Củ Chi,Hồ Chí Minh,None
6, Không,0, MS296107,,None,,0, 172 m,Sổ Đỏ, Không, 0 m,https://nhadat24h.net.vn/storage/product/14963/z4976912906795-051d429b1c4ba87cf56d68f2b1834489.jpg, Không," BÁN LÔ ĐẤT TIỀM NĂNG, SIÊU RẺ KHU TIÊN SƠN - BIỂN HỒ - PLIEKU", Không,150000000, 1 m,"Đường Đào Duy Từ, Biển Hồ", Không,"BÁN LÔ ĐẤT TIỀM NĂNG, SIÊU RẺ KHU TIÊN SƠN - BIỂN HỒ - PLIEKU",0,https://nhadat24h.net.vn/du-an/ban-lo-dat-tiem-nang-sieu-re-khu-tien-son-bien-ho-plieku/296107, 172 m, 0 m,Biển Hồ,None,Gia Lai,Đào Duy Từ
7, Không,0, MS296053,,- Liên hệ: Mr Hảo 0902669004 - 0984972839,Tây Nam,0, 453 m,Sổ Hồng, Không, 43 m,https://nhadat24h.net.vn/storage/product/11662/z4846071716494-5709a394f3486ebc815d34addf217673-3.jpg, Không, Bán Lô Đất Nghỉ Dưỡng View Sông - Xã Hòa Khánh - Huyện Cái Bè - Tiền Giang, Không,500000000, 6 m,"Đường Tỉnh lộ 863, Hòa Khánh", Không,Bán Lô Đất Nghỉ Dưỡng View Sông - Xã Hòa Khánh - Huyện Cái Bè - Tiền Giang,0,https://nhadat24h.net.vn/du-an/ban-lo-dat-nghi-duong-view-song-xa-hoa-khanh-huyen-cai-be-tien-giang/296053, 453 m, 9 m,Hòa Khánh,Cái Bè,lộ 863,Tỉnh lộ 863
8, Không,0, MS295974,,None,Nam,0, 396 m,Sổ Đỏ, Không, 26.7 m,https://nhadat24h.net.vn/storage/product/16873/98871a38ecc4459a1cd5-3.jpg, Không, SIÊU VIP: Bán 396m2 đất biệt thự FPT Đà Nẵng sát Cổng Đại học FPT.Liên hệ: 0905.31.89.88, Không,11088000000, 8 m,"Đường , Hòa Hải", Không,SIÊU VIP: Bán 396m2 đất biệt thự FPT Đà Nẵng sát Cổng Đại học FPT.Liên hệ: 0905.31.89.88,0,https://nhadat24h.net.vn/du-an/sieu-vip-ban-396m2-dat-biet-thu-fpt-da-nang-sat-cong-dai-hoc-fptlien-he-0905318988/295974, 396 m, 15 m,Hoà Hải,Ngũ Hành Sơn,Đà Nẵng,An Bắc 4
9, Có,0, MS295976,,None,Bắc,2 t, 69 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/11072/01a7faa2fc5f55010c4e13.jpg, Có," FPT Plaza 1, căn góc, 2PN FULL NỘI THẤT, 69m2, giá chỉ 1.68 tỷ. LH 0905.31.89.88", Không,1680000000, 35 m,"Đường Võ Quý Huân, Hòa Hải", Không,"FPT Plaza 1, căn góc, 2PN FULL NỘI THẤT, 69m2, giá chỉ 1.68 tỷ. LH 0905.31.89.88",0,https://nhadat24h.net.vn/du-an/fpt-plaza-1-can-goc-2pn-full-noi-that-69m2-gia-chi-168-ty-lh-0905318988/295976, 69 m, 0 m,Hoà Hải,Ngũ Hành Sơn,Đà Nẵng,None
